learning_rate,hidden_dim,gamma,epsilon_decay,batch_size,target_update_freq,mean_reward,training_time
1.4765043713594329e-05,128,0.9604046164232355,0.9916364247048639,32,500,16.0,1.6883151531219482
1.9634341572933314e-05,256,0.9834799124224475,0.9954899699200436,128,2000,14.8,1.8255653381347656
8.179499475211679e-05,128,0.9503462489557661,0.9902075618253727,128,2000,10.0,1.9162139892578125
1.5673095467235426e-05,64,0.9973159696206534,0.9972755761330482,32,1000,9.6,1.4840781688690186
0.005345166110646817,128,0.9824635919333451,0.9928053996848047,64,1000,9.6,1.6846339702606201
0.00015833718339012065,256,0.9723474292266348,0.9970665836525371,128,2000,9.6,2.8919246196746826
0.00043664735929796326,128,0.9515343513303224,0.997580562971355,64,1000,9.2,1.3938207626342773
0.00021751953118777636,256,0.9528460969962418,0.9977955853119744,128,1000,9.2,2.003848075866699
0.00890620438616168,64,0.9522760702232799,0.9954679036671129,32,500,9.0,1.5418508052825928
0.00013292918943162154,64,0.958988304703442,0.9970172190024549,32,2000,8.8,1.6371686458587646
